"individualID","uid","date","eventID","phenophaseName","phenophaseStatus","phenophaseIntensityDefinition","phenophaseIntensity","remarks","obsYear"
"NEON.PLA.D16.ABBY.06091","ceeb82c4-248b-4c00-a4ed-4955ef4cc847",2021-06-03,NA,"Open pollen cones","no","Percentage of all fresh pollen cones (unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06046","209ba48e-32d1-400b-9a1e-705bc91967dc",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06158","a3e26168-37df-4d60-8238-40dcb7abb2ed",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06140","0826ebe5-c08a-4803-be27-911cc29110b8",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06122","9c956c1e-29e4-4d80-ad0b-17a2879c6933",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06018","153f32c3-0814-4bce-884a-38477e7ef8dc",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06298","e4b736f2-8aeb-4a46-bd61-d89870ec9546",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06124","25d34a85-1a59-484d-9c13-aeed366b7a58",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","75-94%",NA,2021
"NEON.PLA.D16.ABBY.06147","a9e9ea40-82ff-4363-a16d-2f48165ea553",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06120","a51ef4b2-b4d9-4f2d-9eb4-c38467a46f54",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06131","51896356-9459-46f6-9bfc-c2de7ee730f8",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06160","eb01b1ae-352e-4bfd-994a-a6c8131967c2",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06139","4105e73f-f265-49ce-96d8-1f796bdb8d39",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","25-49%",NA,2021
"NEON.PLA.D16.ABBY.06149","bbd707e1-5dee-41bd-860d-39e75d8a15f7",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06293","738eb1cb-d4df-40a3-8ce8-32454f4a3c7c",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06123","c06bd6da-d2c4-494c-a92c-85b696969d69",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06122","37d6fd7e-1614-4965-b89f-09d0352475d5",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06165","92c5f092-9612-40ec-84e7-8f176d2a10a2",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06283","0a6df064-e6be-472a-9ae9-d6e46d343531",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06148","5e7a0e9f-9810-419f-9950-0c35aa63d79f",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","75-94%",NA,2021
"NEON.PLA.D16.ABBY.06120","722098f8-0500-4d7d-a210-fdf8d3806488",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06299","4e3016f0-1083-46b8-84d3-a7a3e3e968f3",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06108","7516555c-7d01-4820-abdc-6edb1893c235",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06137","9b4bc516-78db-4219-8323-fd1a48588d3f",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06103","a46be274-5fde-4560-80be-d352565f5d9f",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06132","081c2fe8-9263-4748-9c50-67e0351a0762",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06132","26c4a70e-9bd1-4383-b847-294da50f302d",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06046","ad5c74b3-ba61-4f97-b92c-b28fc58c7b4a",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06146","c85a02e1-b0a7-49f4-bb11-08d7f224bda1",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06283","9c525be5-2ce1-425a-8294-f5c08e8298ac",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06294","7aba136c-4eda-48c8-b1e4-8154ae9cb3b7",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06300","fa1bfb81-385e-4e71-a351-ff7092815362",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06105","48ca2e76-dd0d-465f-8cee-eee63540c3b8",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06131","b601ccb2-6a08-442c-86b9-cf19b92b71bc",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06136","b8421d92-76ed-450f-af91-12dcaa5300fe",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves",">= 95%",NA,2021
"NEON.PLA.D16.ABBY.06119","3c45331c-285f-4e4e-b2b7-284b230e8489",2021-06-03,NA,"Open flowers","yes","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",">= 95%",NA,2021
"NEON.PLA.D16.ABBY.06192","64c56b5c-5532-4fbb-8a4b-d6bd40b4d69e",2021-06-03,NA,"Breaking needle buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06289","19d11697-46f6-485a-94d0-2ea92ed7fdfb",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06112","1d66f632-d27f-48c9-ac42-4cac616b1483",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06135","1e431d74-a2be-44a9-893f-a2f880d44eef",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06169","343ee761-515f-4b4d-872c-2d47876bfccb",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06046","a47ae517-889a-420b-ae1d-0acd02811f22",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06187","c94b1933-b382-40ef-b945-4377123264a6",2021-06-03,NA,"Breaking needle buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06160","b3c7f9b3-0e97-4de4-9836-c000ef3a086c",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06146","53f875f1-cff9-44ca-bc01-313cfbc98956",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06136","c7ac28be-d279-4639-82aa-a96e6e65c945",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06089","04002a17-9587-4caf-8b0a-118edc0b99ce",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06167","f00087cb-8e9f-4ee9-adc4-71497d02fe1f",2021-06-03,NA,"Open pollen cones","no","Percentage of all fresh pollen cones (unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06121","4b673ddf-b3d0-47cb-8fa2-4caeb156dec7",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06282","19dd0ff9-12d5-405b-a3e5-ede633e310b3",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06284","a0fc5729-ae8c-4a2e-bb2b-d7e9ae466793",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06130","bf5b0b5d-69e3-4aff-b50f-b45aae9ee566",2021-06-03,NA,"Open flowers","yes","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06104","16f410b0-6b99-41c9-847e-9f5599205d51",2021-06-03,NA,"Open flowers","yes","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06177","ceeddf3e-2752-4589-98d8-f6e1467febaf",2021-06-03,NA,"Open pollen cones","no","Percentage of all fresh pollen cones (unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06163","c6e7e145-1b89-4d0e-8729-408124352e3e",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06133","9d7e5ba8-46a0-4448-b3d9-cd2f90ba3f15",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06151","afab4a37-84ce-4bf9-b730-acfb80e1c501",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06018","4c1692db-ee91-4f85-8627-918cd851910a",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06123","490cfb0f-857f-4eb3-8f60-d39b9893d24c",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06159","18ef5af5-d209-4aed-943f-26889648b7ae",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06161","a49a9241-0478-4674-a44a-5fc2d89dd492",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06159","fba2cbdf-0233-4966-9320-7eb044db4116",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06153","bb8c9d4d-11e7-4472-8f15-c8a910deb00a",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","75-94%",NA,2021
"NEON.PLA.D16.ABBY.06145","5f1bc71f-1cde-4295-856a-4815321f3120",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06137","883ccdcb-bce3-491c-b786-c70e7e949f8e",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06115","75986665-1431-4f2f-8092-848d767d20c5",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06124","f2933225-656a-4db2-898f-b1e640cc28cf",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06134","ece52ece-4bc1-469a-8e24-bade007bc8b3",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,"Individual to right of transect",2021
"NEON.PLA.D16.ABBY.06148","d0a80cc5-49ab-4135-becd-9be1366c3608",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06150","77df01eb-6394-4c00-85f1-3a333d92e0a8",2021-06-03,NA,"Falling leaves","no",NA,NA,"Female catkins uncertain if open",2021
"NEON.PLA.D16.ABBY.06143","813403b9-0bb6-4b61-b89b-8ee7686b49a2",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06139","3a7776e1-330c-400e-9689-13c386124603",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","25-49%",NA,2021
"NEON.PLA.D16.ABBY.06151","bf7f1178-690f-46d3-9cf6-f0c6022944b9",2021-06-03,NA,"Young leaves","yes","Number of young leaves present","101 to 1000",NA,2021
"NEON.PLA.D16.ABBY.06109","12cfd3c1-c8e3-4fd0-aab6-e5fc3a750a01",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06122","b679274d-67ed-4d13-b919-dab0be4337f6",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06144","3b426ad9-ea9f-4ace-9e76-6cb72d9eef4f",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06150","1ea4cc9a-eb78-456c-b3f4-041356664ff5",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","50-74%","Female catkins uncertain if open",2021
"NEON.PLA.D16.ABBY.06136","4201a77f-d18d-42b9-a0b1-720887733708",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%",NA,2021
"NEON.PLA.D16.ABBY.06138","833bea79-fcfb-4bbb-865b-354afb4b89e6",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","50-74%","Male and female catkins uncertain if open",2021
"NEON.PLA.D16.ABBY.06126","7c7e1b3b-446a-4405-b57c-805e49e71fd6",2021-06-03,NA,"Open flowers","yes","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06134","f84f182c-34d9-4b40-817e-da5f1a4e385f",2021-06-03,NA,"Falling leaves","no",NA,NA,"Individual to right of transect",2021
"NEON.PLA.D16.ABBY.06124","44ac8f9d-4b30-4e4c-86d9-32f85f3d4ac9",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06297","c3f5cc52-c0ad-43d3-877c-68a990ec6c0d",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06149","901108dd-e3ea-4a5d-a835-92653e53457f",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06121","5f7d9a79-66a9-4224-90bf-0c57993c7689",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06090","844cabcd-629d-4d49-9e13-21c138105da2",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06137","905435b2-f9ee-4b48-a4a3-cea22b02f8ce",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06161","d7390bc4-5b5b-44d9-be40-ad90d7c5d4d1",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06121","baf33a15-983c-4c4c-950f-1be63f426ace",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06160","56b0add6-5863-4968-97f4-582f4c73152e",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06283","b887160c-0bb2-4397-a298-53311f452f99",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06074","3c839f89-ef43-44d2-8c50-8ce830ddbe5c",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","75-94%",NA,2021
"NEON.PLA.D16.ABBY.06162","7ef03623-7bdc-498d-9d9d-f5e3ac3f4c0b",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06142","155d45cd-4743-4dd1-8983-7fc560d4a798",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","75-94%",NA,2021
"NEON.PLA.D16.ABBY.06156","fa14a9fd-c1dd-41fd-a7f8-3d87848493d9",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06150","48199c25-179e-4b76-a4ce-16c582a71519",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%","Female catkins uncertain if open",2021
"NEON.PLA.D16.ABBY.06135","748c58b2-0a99-4b4f-ae0a-e0b6769d277b",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06289","893876df-7c1a-42d9-bb80-5d25b3646058",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06074","e049f711-0b6e-4570-8aad-d145dbb21eff",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06289","114d959e-3995-47b1-aa8c-8088c2011f08",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06138","10c98d93-6e5d-41db-81ba-d9366134528f",2021-06-03,NA,"Falling leaves","no",NA,NA,"Male and female catkins uncertain if open",2021
"NEON.PLA.D16.ABBY.06155","f122f118-47a9-4a08-b701-776f8648a612",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06104","c2268002-f8cc-499c-b1e5-eea1dc15bf20",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06136","20e9c162-c348-437e-af99-b123075d5635",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06133","a381d88f-12f1-499e-8267-c8c3a94342a6",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06139","492b6ad7-0adc-4d4b-8156-dc0e279d7255",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06298","9b6681db-2963-4531-9f2c-74135f68f87c",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06132","77ac8912-7b43-4c0e-af92-87d70089e397",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06117","2fbf2e40-d3e1-4302-810c-fb20585b8465",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06133","0afc93b4-b083-43b5-95c7-4eeaaf6ef60d",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves",">= 95%",NA,2021
"NEON.PLA.D16.ABBY.06158","b3b88fd8-5553-4186-a856-b7697cf76371",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06119","c29cdd67-03ab-4e7d-b3b3-4a491debd800",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06295","b0b1c87f-39ee-4c53-98f2-9e0cfadda387",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06154","1009dadf-92cf-4e0c-9da9-ffe68c7fdf47",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06128","f827e3e4-4ace-4fd7-8c78-6872695e93c7",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06018","a895fe93-e974-4c09-93eb-be7422e47e07",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06139","4bec7169-0fa8-4659-a2a0-a9d199035cfd",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06287","45d6d39d-3e40-45c1-b7c2-90a563b8bb99",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06109","fd090d64-d3e5-4958-a07f-5739d2eb8e5c",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06116","752cb5d7-f328-4591-be3e-8581ec49e90f",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06134","6325b8a1-6624-41e8-ab09-23385aabd7b4",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%","Individual to right of transect",2021
"NEON.PLA.D16.ABBY.06153","da59ff04-868e-4221-b4fa-b4b0cbb5bf14",2021-06-03,NA,"Open flowers","yes","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",">= 95%",NA,2021
"NEON.PLA.D16.ABBY.06142","94f4cd1f-0028-4a4a-817f-0cc433b5a7c2",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06033","6ec1ef9b-4792-41bf-97c4-5cb446f2a760",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06111","697555e4-a62e-4b82-8cef-4d1c3a20d07f",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06141","adf04d37-447c-41cd-a6b5-86156fcf42fd",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06111","f230ca03-4796-47bd-9732-bda6eb70553d",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06106","4ae85c2d-2e2b-4554-ad43-1b02fabdbdc3",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06135","e215ff38-7150-4868-8130-4d027747038f",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06130","00ae53e0-d659-4373-b099-073186100b40",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06117","058ece95-da5c-4104-af2e-b822e9d22407",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06286","5081d09c-177b-40ab-b8c3-07633288c3e3",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06149","f713bfd9-197c-43c1-843f-206efc160eb7",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06178","b261d30b-a6e9-4e5f-916a-41922b869f30",2021-06-03,NA,"Open pollen cones","no","Percentage of all fresh pollen cones (unopened plus open) on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06167","8f192f6d-8d72-4399-96c0-0c5e095b3d5e",2021-06-03,NA,"Young needles","yes","Number of young needles present","> 10000",NA,2021
"NEON.PLA.D16.ABBY.06187","2eb812ca-deb2-4623-87f7-a7e61d4f57eb",2021-06-03,NA,"Young needles","yes","Number of young needles present","> 10000",NA,2021
"NEON.PLA.D16.ABBY.06089","4a2ee946-6ec8-419f-a73b-470f140e5de2",2021-06-03,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2021
"NEON.PLA.D16.ABBY.06116","5a09166b-6750-4c53-a86b-c26a133faed3",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06164","69347a35-2642-4a1b-992e-6838916377be",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06140","1be4aab2-a867-4870-bb67-646f0b3b23c7",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","75-94%",NA,2021
"NEON.PLA.D16.ABBY.06286","b68acd05-ad8d-4f47-81d4-ff05ffa2b5e4",2021-06-03,NA,"Initial growth","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06145","d7dda5d5-58b7-4ff2-a817-57dd18658fde",2021-06-03,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2021
"NEON.PLA.D16.ABBY.06033","48616862-4428-49e9-87f0-feb72e627eac",2021-06-03,NA,"Falling leaves","no",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06150","f3d39d98-9aff-4095-8a32-8287a5271290",2021-06-03,NA,"Open flowers","uncertain","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,"Female catkins uncertain if open",2021
"NEON.PLA.D16.ABBY.06123","3cef096d-63f8-4c01-a259-64a76f970d5e",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","75-94%",NA,2021
"NEON.PLA.D16.ABBY.06286","5119eb5f-5e75-407e-bcdb-d8f1e994149c",2021-06-03,NA,"Leaves","yes",NA,NA,NA,2021
"NEON.PLA.D16.ABBY.06158","b1d406fa-e7ba-4816-a1c2-16d3d3efd1fc",2021-06-03,NA,"Increasing leaf size","yes","Percentage of full size of most leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06131","3867ec44-d7e4-4a7d-a5ca-c7cf92163649",2021-06-03,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2021
"NEON.PLA.D16.ABBY.06077","d9d86061-c102-47ce-a56b-c916edecb3f1",2021-06-03,NA,"Young leaves","yes","Number of young leaves present","11 to 100",NA,2021
"NEON.PLA.D16.ABBY.06046","a95bdcf0-da66-4b69-abb6-f8504f919840",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","50-74%",NA,2021
"NEON.PLA.D16.ABBY.06152","7496fe1b-efb4-4758-a3c8-5ca35e513d67",2021-06-03,NA,"Leaves","yes","Percentage of the canopy that is full with leaves","75-94%",NA,2021
